Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MIP
1,Quincy Acy\acyqu01,PF,22,TOR,29,0,11.8,1.4,2.6,0.56,0,0.1,0.5,1.4,2.5,0.562,0.567,1.1,1.3,0.816,1,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-0.6,1.3,0.7,0.2,0
2,Jeff Adrien\adrieje01,PF,26,CHA,52,5,13.7,1.4,3.2,0.429,0,0,0,1.4,3.2,0.434,0.429,1.3,1.9,0.65,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.5,0.4,1,0.064,-3,-0.2,-3.3,-0.2,0
3,Arron Afflalo\afflaar01,SF,27,ORL,64,64,36,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,13,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2,0.042,-0.3,-2,-2.3,-0.2,0
4,Josh Akognon\akognjo01,PG,26,DAL,3,0,3,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0,0,,0,0.3,0.3,0.3,0,0,0,1,1.7,15.3,0.625,0.5,0,0,12.1,6.2,19.4,0,0,0,20.3,0,0,0,0.196,4.7,-4.9,-0.2,0,0
6,LaMarcus Aldridge\aldrila01,PF,27,POR,74,74,37.7,8.6,17.8,0.484,0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,20.4,0.53,0.011,0.264,7.2,20.9,14,13,1.2,2.5,8.9,26.5,4.8,2.3,7.2,0.124,0.3,0.5,0.8,2,0
7,Lavoy Allen\allenla01,C,23,PHI,79,37,21.1,2.6,5.7,0.454,0,0,0,2.6,5.7,0.455,0.454,0.5,0.8,0.717,2,3,5,0.9,0.3,0.7,0.7,2.3,5.8,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.9,1.6,2.5,0.072,-3.2,0.6,-2.6,-0.3,0
8,Ray Allen*\allenra02,SG,37,MIA,79,0,25.8,3.7,8.2,0.449,1.8,4.2,0.419,1.9,4,0.48,0.555,1.8,2,0.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,0.126,1.7,-1.5,0.2,1.1,0
9,Tony Allen\allento01,SG,31,MEM,79,79,26.7,3.6,8.1,0.445,0,0.3,0.125,3.6,7.8,0.458,0.447,1.7,2.4,0.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,1,4.1,5.1,0.115,-1.6,2.9,1.3,1.8,0
10,Al-Farouq Aminu\aminual01,SF,22,NOH,76,71,27.2,3,6.2,0.475,0.1,0.3,0.211,2.9,6,0.486,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2,7.3,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-2,2.4,0.4,1.3,0
12,Chris Andersen\anderch01,C,34,MIA,42,0,14.9,1.7,2.9,0.577,0,0.1,0.667,1.6,2.9,0.575,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1,0.6,2.1,4.9,17.4,0.631,0.024,0.756,11.9,21.5,17,4,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-0.6,1.8,1.2,0.5,0
